Year,Bayunit,Estimate.Nonpups,SD.Nonpups,Estimate.Pups,SD.Pups
2006,OUTIS,1361,510.9,57,56.2
2006,PBEA,2387,802.1,638.5,648.3
2006,PBMC,1740.5,642.2,328,269.6
2006,PBMW,1297.5,488.0,240.5,219.6
2006,PBUP,382.5,142.4,27,24.6
2006,PBVL,672.5,240.6,125,108.3
2006,PBVLW,203.5,70.5,28,23.9
2006,PNDB,1696.5,618.0,293.5,301.8
2006,WB,1413.5,515.0,413,365.8
2007,BHBIH,588.5,205.7,106,94.2
2007,BHBIHE,760,259.5,119,103.1
2007,BHBIHW,415,143.6,47,42.0
2007,BHBMR,3114,1125.0,733,708.1
2007,BHBSI,1335.5,464.2,421,380.3
2007,BHBUP,1372.5,503.9,364,293.4
2007,BOSHB,3876,1385.5,255,246.2
2007,CASB,1855,645.3,329,268.5
2007,CASBE,623,216.6,39,30.5
2007,CELPT,1966.5,756.5,55,47.9
2007,COBSB,336.5,130.5,60,52.6
2007,EB,1516,543.7,536.5,490.3
2007,ENGB,463.5,170.1,102,88.9
2007,FBMDI,1651,593.1,246,221.3
2007,MACHB,1532.5,559.2,316,246.2
2007,MUSCB,2853,1004.8,468.5,416.8
2007,OUTIS,1385,477.3,56,51.3
2007,PBEA,2415,821.8,649.5,594.6
2007,PBMC,1731.5,650.2,329,273.4
2007,PBMW,1300.5,462.4,261,231.3
2007,PBUP,380,148.0,27,26.6
2007,PBVL,657,230.8,126,104.9
2007,PBVLW,203,71.3,28,23.1
2007,PNDB,1730.5,604.2,301,262.5
2007,WB,1426.5,494.8,421,358.5
2008,BHBIH,601,215.7,103,90.1
2008,BHBIHE,757,265.8,120,99.4
2008,BHBIHW,419,146.8,48.5,42.4
2008,BHBMR,3085,1064.0,736.5,674.8
2008,BHBSI,1354,500.5,421,362.3
2008,BHBUP,1373.5,493.0,373,390.2
2008,BOSHB,3778.5,1298.4,249.5,220.6
2008,CASB,1829,643.3,353.5,267.0
2008,CASBE,616.5,201.7,38,40.7
2008,CELPT,1933,719.0,55.5,54.6
2008,COBSB,328.5,126.4,62,57.2
2008,EB,1529,541.5,516.5,456.1
2008,ENGB,463,167.2,104,95.9
2008,FBMDI,1631,576.4,249.5,213.3
2008,MACHB,1563.5,560.1,316,284.9
2008,MUSCB,2843,962.3,454.5,408.6
2008,OUTIS,1355.5,492.3,58,58.2
2008,PBEA,2405.5,851.0,652,664.8
2008,PBMC,1724.5,637.4,327.5,273.7
2008,PBMW,1257.5,455.9,248,246.5
2008,PBUP,381,145.9,29,24.8
2008,PBVL,644,225.6,128.5,115.1
2008,PBVLW,200.5,73.3,28,23.7
2008,PNDB,1770,611.3,290,246.0
2008,WB,1398,505.1,424,380.8
2009,BHBIH,603,202.9,99,96.7
2009,BHBIHE,768,263.0,124.5,103.5
2009,BHBIHW,418,140.0,46,42.4
2009,BHBMR,3116,1100.9,755,658.0
2009,BHBSI,1303,447.5,419.5,364.8
2009,BHBUP,1391.5,469.3,362.5,319.7
2009,BOSHB,3762.5,1372.7,252,213.3
2009,CASB,1800,618.0,317,273.4
2009,CASBE,609,210.1,35,40.4
2009,CELPT,1907,757.6,54,53.1
2009,COBSB,334,137.7,59,61.9
2009,EB,1548.5,516.7,511,395.8
2009,ENGB,460,169.3,106,84.0
2009,FBMDI,1636,567.6,242.5,198.0
2009,MACHB,1543.5,544.9,320,256.3
2009,MUSCB,2760.5,926.9,463,417.2
2009,OUTIS,1372,508.9,57,50.9
2009,PBEA,2304,796.3,652,612.1
2009,PBMC,1726.5,618.5,325.5,273.5
2009,PBMW,1239,451.1,237.5,214.4
2009,PBUP,390,142.2,26,23.7
2009,PBVL,634,222.2,125.5,111.0
2009,PBVLW,195,71.5,28,22.8
2009,PNDB,1750,648.3,305,276.4
2009,WB,1411,499.6,405.5,407.9
2010,BHBIH,614,201.9,108,86.7
2010,BHBIHE,772,262.0,121,111.9
2010,BHBIHW,418,136.9,49,41.4
2010,BHBMR,3151.5,1040.0,744,636.2
2010,BHBSI,1276,423.0,390,318.0
2010,BHBUP,1410,435.3,352,335.8
2010,BOSHB,3758,1381.0,242,229.9
2010,CASB,1651,601.4,338.5,278.8
2010,CASBE,583,207.1,37,33.6
2010,CELPT,1904,777.5,58,50.4
2010,COBSB,330,137.3,61,57.6
2010,EB,1509.5,518.5,521.5,453.5
2010,ENGB,465,176.4,109,94.7
2010,FBMDI,1615,521.5,243,192.9
2010,MACHB,1561,537.6,323,263.7
2010,MUSCB,2729.5,874.6,445,413.7
2010,OUTIS,1341.5,506.0,57,49.7
2010,PBEA,2332,786.0,652,568.3
2010,PBMC,1755.5,614.8,334.5,293.9
2010,PBMW,1180.5,413.4,250,203.4
2010,PBUP,392,142.1,26,25.9
2010,PBVL,631.5,227.2,132,103.1
2010,PBVLW,183,66.5,27,24.1
2010,PNDB,1740,625.9,294,260.3
2010,WB,1409,490.8,429.5,376.9
2011,BHBIH,640.5,187.7,107.5,82.6
2011,BHBIHE,773,225.6,128,110.6
2011,BHBIHW,420.5,127.0,50,41.5
2011,BHBMR,3187.5,1009.8,768.5,644.1
2011,BHBSI,1178.5,379.4,422.5,357.3
2011,BHBUP,1400,425.9,374,339.2
2011,BOSHB,3828.5,1385.4,251.5,225.4
2011,CASB,1510,500.3,327,278.7
2011,CASBE,544,168.8,38,33.5
2011,CELPT,1893.5,733.1,53,49.6
2011,COBSB,333,137.0,61,59.4
2011,EB,1536.5,476.4,521.5,474.9
2011,ENGB,472,174.5,98,88.2
2011,FBMDI,1550,446.5,263.5,219.7
2011,MACHB,1538,503.8,314,289.4
2011,MUSCB,2529,786.8,464,363.0
2011,OUTIS,1342,505.0,59,47.4
2011,PBEA,2218.5,703.7,645.5,536.9
2011,PBMC,1759.5,568.7,352,276.3
2011,PBMW,1081,351.3,251,178.9
2011,PBUP,395.5,145.8,26,25.2
2011,PBVL,607.5,202.2,123.5,99.3
2011,PBVLW,163,57.5,28,25.3
2011,PNDB,1708,625.6,298,239.6
2011,WB,1426,491.2,416.5,359.4
2012,BHBIH,717,74.4,195,19.3
2012,BHBIHE,771,78.5,237,21.7
2012,BHBIHW,420,47.9,86,13.0
2012,BHBMR,3357,462.8,1068.5,45.6
2012,BHBSI,996,125.4,356,26.6
2012,BHBUP,1403.5,96.1,545,33.6
2012,BOSHB,3923.5,1321.9,240,209.5
2012,CASB,1057,145.7,379,26.8
2012,CASBE,439,51.4,39,8.7
2012,CELPT,1888.5,702.6,55,52.8
2012,COBSB,328,131.4,59,52.4
2012,EB,1525,163.2,719,37.4
2012,ENGB,463,173.2,102,96.9
2012,FBMDI,1401.5,117.3,323.5,25.1
2012,MACHB,1541,259.9,343,26.6
2012,MUSCB,2050,140.5,678,38.1
2012,OUTIS,1348,499.8,55,53.4
2012,PBEA,2077.5,366.9,745,38.0
2012,PBMC,1867,234.1,586,34.3
2012,PBMW,844.5,125.6,250,22.7
2012,PBUP,401,146.5,26,24.8
2012,PBVL,522,77.9,180,18.9
2012,PBVLW,114,22.0,25,6.6
2012,PNDB,1714,619.5,288,266.8
2012,WB,1415,516.7,407,366.4
2013,BHBIH,637,192.9,105.5,90.0
2013,BHBIHE,761,228.9,120,99.6
2013,BHBIHW,424,125.3,51,44.0
2013,BHBMR,3226,963.5,733,594.0
2013,BHBSI,1174,385.8,415.5,322.2
2013,BHBUP,1406,395.1,360,337.0
2013,BOSHB,3805,1295.4,245,230.0
2013,CASB,1473,495.7,313.5,282.1
2013,CASBE,548,179.4,37.5,31.3
2013,CELPT,1904.5,737.2,55,55.7
2013,COBSB,329,134.0,59,52.9
2013,EB,1534,447.8,524,454.5
2013,ENGB,476,168.5,103,96.2
2013,FBMDI,1560.5,506.2,253,214.1
2013,MACHB,1538.5,490.9,319.5,248.2
2013,MUSCB,2474,778.1,480.5,409.7
2013,OUTIS,1346.5,510.5,58,49.6
2013,PBEA,2277,692.7,645.5,527.9
2013,PBMC,1762.5,534.3,332.5,258.5
2013,PBMW,1097.5,372.3,242,226.3
2013,PBUP,386.5,151.7,27,26.3
2013,PBVL,601,195.4,131,116.3
2013,PBVLW,166,57.8,26,22.7
2013,PNDB,1719,590.3,288,247.8
2013,WB,1431,480.3,406,354.7
2014,BHBIH,614.5,191.4,105,96.5
2014,BHBIHE,763,244.9,124,103.1
2014,BHBIHW,419,131.1,49,43.1
2014,BHBMR,3124.5,1075.1,723.5,656.5
2014,BHBSI,1257,418.2,424.5,372.0
2014,BHBUP,1360.5,441.1,366,316.8
2014,BOSHB,3805,1357.0,250.5,212.0
2014,CASB,1706.5,572.5,338,295.1
2014,CASBE,593,191.9,37,28.9
2014,CELPT,1931.5,716.3,55,47.9
2014,COBSB,327,127.0,59,54.3
2014,EB,1523,480.5,503.5,432.2
2014,ENGB,467,167.1,97,87.1
2014,FBMDI,1616,531.9,247,209.6
2014,MACHB,1620,554.4,321,352.8
2014,MUSCB,2679,953.3,458.5,423.2
2014,OUTIS,1312.5,473.2,56,45.3
2014,PBEA,2323.5,728.9,659.5,540.0
2014,PBMC,1685.5,564.8,324,272.0
2014,PBMW,1209,415.3,246,218.6
2014,PBUP,395,146.1,25,25.2
2014,PBVL,634,209.7,127,96.8
2014,PBVLW,187,63.4,26,24.2
2014,PNDB,1718.5,611.9,298,246.9
2014,WB,1418,483.1,416,356.8
2015,BHBIH,616,198.1,110,97.8
2015,BHBIHE,756,243.8,122,102.3
2015,BHBIHW,424,136.4,49,44.1
2015,BHBMR,3012,1044.4,761,589.5
2015,BHBSI,1270.5,444.2,417,328.5
2015,BHBUP,1339.5,488.6,369,313.8
2015,BOSHB,3686,1340.9,247.5,218.6
2015,CASB,1790.5,629.8,332.5,279.2
2015,CASBE,607,210.5,36,33.9
2015,CELPT,1929.5,730.0,57,57.9
2015,COBSB,334,131.5,61.5,48.6
2015,EB,1538.5,491.3,515.5,430.5
2015,ENGB,477,176.7,99,86.5
2015,FBMDI,1620,522.7,248,199.6
2015,MACHB,1614.5,545.2,311,269.7
2015,MUSCB,2817.5,933.7,471,393.0
2015,OUTIS,1296,482.0,55,50.3
2015,PBEA,2340.5,784.5,647,561.6
2015,PBMC,1684,585.8,320.5,251.7
2015,PBMW,1261.5,460.6,256,197.4
2015,PBUP,392,141.5,28,23.9
2015,PBVL,648,227.9,126,107.5
2015,PBVLW,197,71.3,27,24.3
2015,PNDB,1698.5,604.9,301.5,266.4
2015,WB,1381.5,463.3,414.5,336.1
2016,BHBIH,629,199.2,106,90.7
2016,BHBIHE,784.5,235.3,123,109.3
2016,BHBIHW,442.5,138.4,51,40.7
2016,BHBMR,2930.5,1013.3,743.5,599.9
2016,BHBSI,1275,442.7,407,339.3
2016,BHBUP,1331,448.1,364.5,312.7
2016,BOSHB,3531.5,1265.2,257.5,242.6
2016,CASB,1828.5,597.5,314,284.0
2016,CASBE,656.5,212.1,35,32.9
2016,CELPT,1898.5,668.1,55,52.1
2016,COBSB,324.5,128.4,57,58.7
2016,EB,1478.5,491.1,512,461.3
2016,ENGB,480,164.1,102,91.9
2016,FBMDI,1625,513.1,241,191.8
2016,MACHB,1621.5,571.3,311,273.5
2016,MUSCB,2916,944.8,458.5,461.7
2016,OUTIS,1235,434.8,54,52.4
2016,PBEA,2352,778.5,637,567.6
2016,PBMC,1649,562.4,324.5,264.4
2016,PBMW,1305,431.7,259,229.7
2016,PBUP,401,141.8,27,24.6
2016,PBVL,695.5,230.8,127,110.9
2016,PBVLW,209,70.1,26.5,24.3
2016,PNDB,1694,579.0,301.5,249.6
2016,WB,1361.5,438.3,418,357.3
2017,BHBIH,639,174.2,110.5,101.4
2017,BHBIHE,786,223.6,120,107.7
2017,BHBIHW,445,131.2,53,45.2
2017,BHBMR,2712.5,847.3,716,583.7
2017,BHBSI,1227,417.8,410,355.3
2017,BHBUP,1261.5,388.5,367.5,310.8
2017,BOSHB,3255.5,1089.7,238.5,204.9
2017,CASB,1811.5,566.8,338,257.9
2017,CASBE,722,213.1,35,32.8
2017,CELPT,1863,628.4,58,45.7
2017,COBSB,337,120.2,58,52.0
2017,EB,1454,423.5,534.5,430.2
2017,ENGB,512,166.8,106,94.1
2017,FBMDI,1625.5,456.5,244,232.6
2017,MACHB,1716,561.1,314,244.6
2017,MUSCB,3001,930.3,460,386.9
2017,OUTIS,1116,391.5,55.5,50.8
2017,PBEA,2407.5,738.5,663,547.3
2017,PBMC,1481,515.7,309,304.3
2017,PBMW,1331,446.8,247,235.6
2017,PBUP,401.5,135.4,28,26.1
2017,PBVL,748,214.6,135,121.6
