"Bayunit","Year","Estimate.Nonpups","SD.Nonpups","Estimate.Pups","SD.Pups","BAYNUM","BAYDESC"
"BOSHB",2017,3255.5,1089.7,238.5,204.9,14,"Boothbay and Sheepscot Bay"
"BOSHB",2010,3758,1381,242,229.9,14,"Boothbay and Sheepscot Bay"
"BOSHB",1999,4300,1414,248,235.1,14,"Boothbay and Sheepscot Bay"
"BOSHB",1998,4353,1301.9,244.5,221.9,14,"Boothbay and Sheepscot Bay"
"BOSHB",2006,3853.5,1392.3,250.5,207.3,14,"Boothbay and Sheepscot Bay"
"BOSHB",2003,4027,1385.9,248,224.2,14,"Boothbay and Sheepscot Bay"
"BOSHB",2009,3762.5,1372.7,252,213.3,14,"Boothbay and Sheepscot Bay"
"BOSHB",1994,3677,1129.1,234,205.5,14,"Boothbay and Sheepscot Bay"
"BOSHB",2011,3828.5,1385.4,251.5,225.4,14,"Boothbay and Sheepscot Bay"
"BOSHB",2013,3805,1295.4,245,230,14,"Boothbay and Sheepscot Bay"
"BOSHB",2000,4421.5,1412.8,261,217.4,14,"Boothbay and Sheepscot Bay"
"BOSHB",2007,3876,1385.5,255,246.2,14,"Boothbay and Sheepscot Bay"
"BOSHB",2002,4306,1396.1,267,226.3,14,"Boothbay and Sheepscot Bay"
"BOSHB",2018,2654.5,268.2,243,21.7,14,"Boothbay and Sheepscot Bay"
"BOSHB",1996,4197.5,1327.1,246.5,228.4,14,"Boothbay and Sheepscot Bay"
"BOSHB",1995,3922.5,1146,252,210.4,14,"Boothbay and Sheepscot Bay"
"BOSHB",2012,3923.5,1321.9,240,209.5,14,"Boothbay and Sheepscot Bay"
"BOSHB",1997,4906,812.7,257,22.8,14,"Boothbay and Sheepscot Bay"
"BOSHB",2005,3771,1339.6,248,223.6,14,"Boothbay and Sheepscot Bay"
"BOSHB",2004,3982,1398.2,251.5,220.9,14,"Boothbay and Sheepscot Bay"
"CASB",2014,1706.5,572.5,338,295.1,13,"Casco Bay"
"CASB",2015,1790.5,629.8,332.5,279.2,13,"Casco Bay"
"CASB",2001,2323.5,127.3,643,35.8,13,"Casco Bay"
"CASB",1993,2097.5,365.9,185,18.9,13,"Casco Bay"
"CASB",2000,2077,640.4,323,258.1,13,"Casco Bay"
"CASB",2006,1863,635,339.5,283,13,"Casco Bay"
"CASB",2008,1829,643.3,353.5,267,13,"Casco Bay"
"CASB",2017,1811.5,566.8,338,257.9,13,"Casco Bay"
"CASB",2016,1828.5,597.5,314,284,13,"Casco Bay"
"CASB",2002,2039,639,329,278.8,13,"Casco Bay"
"CASB",2013,1473,495.7,313.5,282.1,13,"Casco Bay"
"CASB",1994,1971.5,596.2,320,289.2,13,"Casco Bay"
"CASB",1998,2099.5,615.1,327,296.6,13,"Casco Bay"
"CASB",1995,1986.5,631,324,321.1,13,"Casco Bay"
"CASB",2009,1800,618,317,273.4,13,"Casco Bay"
"CASB",1999,2032.5,667.6,333,268.2,13,"Casco Bay"
"CASB",2003,1959,643,341,296.9,13,"Casco Bay"
"CASB",1996,2086.5,633.2,312.5,313,13,"Casco Bay"
"CASB",2007,1855,645.3,329,268.5,13,"Casco Bay"
"CASB",2018,1838.5,224.5,301,23.2,13,"Casco Bay"
"CASB",2004,1930,661.6,335.5,306.3,13,"Casco Bay"
"CASB",2011,1510,500.3,327,278.7,13,"Casco Bay"
"CASB",2010,1651,601.4,338.5,278.8,13,"Casco Bay"
"CASB",2005,1870,656.9,338,299.5,13,"Casco Bay"
"CASB",2012,1057,145.7,379,26.8,13,"Casco Bay"
"CASB",1997,2370.5,389.1,294,24.6,13,"Casco Bay"
"CASBE",2015,607,210.5,36,33.9,26,"Casco Bay, East"
"CASBE",2016,656.5,212.1,35,32.9,26,"Casco Bay, East"
"CASBE",2009,609,210.1,35,40.4,26,"Casco Bay, East"
"CASBE",2014,593,191.9,37,28.9,26,"Casco Bay, East"
"CASBE",2002,685,213.3,40.5,32.9,26,"Casco Bay, East"
