POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
23,1,Moose Cove and Ledge,44.73931,-67.08630333,,Y,,N
125,4,Moose Rock,44.52022667,-67.53967333,,Y,,Y
712,16,Morse Island Ledge,43.94521667,-69.33371667,,Y,,Y
713,16,Morse Ledge,43.94131667,-69.34,,Y,,Y
289,7,Mosley Point Ledge,44.4971,-68.27173333,,Y,,Y
714,16,Mosquito Island,43.92563333,-69.216,,Y,,Y
715,16,Mosquito Island Ledge,43.91851667,-69.24298333,,Y,,Y
290,7,Mount Desert Rock,43.9684,-68.12767,Y,Y,,Y
525,12,Mousam River,43.33702333,-70.50336833,,Y,,Y
938,21,Mouse Island,44.19846667,-68.94255,,Y,,Y
939,21,Mouse Island Ledge North,44.202,-68.941,,Y,,Y
126,4,Mud Hole Channel,44.479155,-67.55326333,,Y,,Y
892,19,Mullen Cove Ledge,44.15445,-68.8126,,Y,,Y
7,4,Muskeget Island,41.335,-70.30166667,Y,,Y,
28,4,Muskeget Shoals,41.32808667,-70.31876306,Y,Y,,
30,4,Nantucket Harbor Jetties - East,41.302978,-70.0996846,,Y,,
29,4,Nantucket Harbor Jetties - West,41.303295,-70.102733,,Y,,
165,5,Nash Island,44.4617,-67.74473333,,Y,,Y
379,9,Naskeag Harbor,44.22984667,-68.53916,,Y,,Y
380,9,Nathan Island,44.09672833,-68.63268167,,Y,,Y
992,4,Nats Rock,44.5212,-67.5645,,Y,,Y
35,10,Nauset Marsh,41.832,-69.9532,,Y,,
969,22,Nettle Island,43.99921061,-69.07017415,,Y,,Y
224,6,Nightcap Ledge,44.518,-67.759,,Y,,Y
24,1,Nipps Island,44.92621333,-67.05165667,,Y,,Y
758,17,No Man's Land,43.88541667,-68.86875,,Y,,Y
6,3,Nomans Island,41.26333333,-70.81166667,Y,Y,Y,
450,10,North Popplestone Ledge 1 and 2,44.10731167,-68.56384333,,Y,,Y
39,1,North Rock Machias Seal Island,44.5375,-67.0875,Y,Y,,Y
826,18,Northwest Harbor Ledge,44.253,-68.715,,Y,,Y
166,5,Norton Island 2,44.5044515,-67.64346924,,Y,,Y
225,6,Norton Island Ledge 2,44.49546667,-67.763635,,Y,,Y
970,22,Norton Island Ledges,43.974,-69.151,,Y,,Y
167,5,Norton Ledge 1,44.50055745,-67.64714355,,Y,,Y
168,5,Norton Ledge 2,44.507,-67.638,,Y,,Y
716,16,Nubbins,43.97305833,-69.34905667,,Y,,Y
893,19,Oak Hill Ledge,44.18829346,-68.82749023,,Y,,Y
914,20,Odom Ledge,44.515,-68.801,,Y,,Y
226,6,Old Bull,44.3929,-67.88901667,,Y,,Y
717,16,Old Cilley Ledge,43.8869,-69.25703333,Y,Y,,Y
894,19,Old Duke Ledge,44.03338333,-68.80071667,,Y,,Y
895,19,Old Horse Ledge,44.02591667,-68.77431667,,Y,,Y
718,16,Old Hump Ledge,43.8786,-69.35483333,,Y,,Y
65,2,Old Man 1,44.61966167,-67.236295,,Y,,Y
227,6,Old Man 2,44.367305,-67.99500667,,Y,,Y
719,16,Old Woman Ledge 1,43.85093333,-69.31798333,,Y,,Y
317,8,Opeechee Island,44.21497396,-68.484611,,Y,,Y
318,8,Orono Island,44.18737793,-68.46453451,,Y,,Y
319,8,Orono Island Ledge,44.19154867,-68.45773926,,Y,,Y
720,16,Otis Cove,43.98766667,-69.23741667,,Y,,Y
721,16,Otis Cove Point,43.99211667,-69.23641667,,Y,,Y
